dataset,algorithm,original_bytes,compressed_bytes,compressed_percent,ratio,compress_mib_s,decompress_mib_s,compress_cpu_pct,decompress_cpu_pct,compress_cpu_ms_mib,decompress_cpu_ms_mib,compress_p95_us,decompress_p95_us
input-1b,none-copy,16,16,100.000000,1.000000,14.184772,16.186585,99.974896,99.970452,70.458484,61.754523,0.292000,0.292000
input-1b,zstd-fast3,16,160,1000.000000,0.100000,1.361457,3.333799,99.934696,99.967367,734.027654,299.860188,0.875000,0.583000
input-1b,zstd-1,16,160,1000.000000,0.100000,1.377165,3.346304,99.938058,99.966611,725.893483,298.756513,0.875000,0.584000
input-1b,zstd-3,16,160,1000.000000,0.100000,1.364207,3.337892,99.976059,99.941444,732.878784,299.204947,0.875000,0.583000
input-1b,zstd-6,16,160,1000.000000,0.100000,1.362926,3.339788,99.965815,99.945421,733.385743,299.334782,0.875000,0.583000
input-1b,zstd-9,16,160,1000.000000,0.100000,1.360650,3.345174,99.969906,99.963452,734.720765,298.923341,0.875000,0.583000
input-1b,snappy-1,16,48,300.000000,0.333333,2.108526,2.984067,99.958837,99.945704,473.974743,335.028788,0.584000,0.584000
input-1b,snappy-2,16,48,300.000000,0.333333,2.074272,2.985869,99.972163,99.963091,481.733773,334.755924,0.584000,0.584000
input-1b,lz4-fast,16,32,200.000000,0.500000,0.841091,11.048743,99.973214,99.993853,1188.107130,90.386874,1.459000,0.292000
input-1b,lz4-hc9,16,32,200.000000,0.500000,0.035286,11.035658,99.939218,99.993957,28322.702222,90.554118,28.584000,0.292000
input-8b,none-copy,128,128,100.000000,1.000000,117.777932,135.170025,99.971218,99.965351,8.487371,7.397740,0.292000,0.292000
input-8b,zstd-fast3,128,272,212.500000,0.470588,5.366331,27.271477,99.966816,99.971220,186.284218,36.657795,1.750000,0.583000
input-8b,zstd-1,128,272,212.500000,0.470588,5.368000,27.204340,99.959156,99.950288,186.144582,36.721301,1.750000,0.583000
input-8b,zstd-3,128,272,212.500000,0.470588,5.172950,27.338756,99.971124,99.972791,193.257459,36.576914,1.750000,0.583000
input-8b,zstd-6,128,272,212.500000,0.470588,5.214734,27.313058,99.963005,99.960675,191.752773,36.599919,1.750000,0.583000
input-8b,zstd-9,128,272,212.500000,0.470588,5.340861,27.274194,99.956586,99.973683,186.090991,36.655045,1.750000,0.583000
input-8b,snappy-1,128,160,125.000000,0.800000,16.983430,32.484046,99.970202,99.962988,58.879019,30.706799,0.584000,0.292000
input-8b,snappy-2,128,160,125.000000,0.800000,16.650392,32.368000,99.904848,99.928372,60.001500,30.741108,0.584000,0.292000
input-8b,lz4-fast,128,144,112.500000,0.888889,6.738569,88.058071,99.936945,99.973924,148.302342,11.350674,1.459000,0.292000
input-8b,lz4-hc9,128,144,112.500000,0.888889,0.314914,88.123380,99.971431,99.937921,3173.811200,11.340828,19.833000,0.292000
input-64b,none-copy,1024,1024,100.000000,1.000000,886.930119,1017.011616,99.934768,99.972676,1.125386,0.982611,0.292000,0.292000
input-64b,zstd-fast3,1024,1168,114.062500,0.876712,35.158350,213.299396,99.991519,99.967782,28.441269,4.686448,2.042000,0.583000
input-64b,zstd-1,1024,1160,113.281250,0.882759,9.284460,111.340302,99.947613,99.974587,107.658667,8.977196,11.375000,4.375000
input-64b,zstd-3,1024,1168,114.062500,0.876712,9.023822,212.680731,99.973284,99.945025,110.757486,4.699339,7.000000,0.584000
input-64b,zstd-6,1024,1168,114.062500,0.876712,6.995507,213.518753,99.973680,99.994826,142.936889,4.683239,10.209000,0.583000
input-64b,zstd-9,1024,1168,114.062500,0.876712,6.225244,211.896684,99.968215,99.992606,160.626667,4.714143,11.084000,0.583000
input-64b,snappy-1,1024,1040,101.562500,0.984615,62.172617,181.255025,99.557534,99.962650,16.011002,5.512270,1.166000,0.584000
input-64b,snappy-2,1024,1027,100.292969,0.997079,44.746950,185.227412,99.664081,99.951533,22.270698,5.396464,1.459000,0.584000
input-64b,lz4-fast,1024,1032,100.781250,0.992248,38.724888,451.833250,99.974825,99.958342,25.812832,2.212711,2.042000,0.292000
input-64b,lz4-hc9,1024,1032,100.781250,0.992248,2.208425,452.614296,99.924438,99.973477,452.469333,2.208801,34.708000,0.292000
shell-512b,none-copy,8192,8192,100.000000,1.000000,4336.587573,4688.183348,99.950457,99.957922,0.230441,0.213212,0.292000,0.292000
shell-512b,zstd-fast3,8192,4557,55.627441,1.797674,56.820021,360.675250,99.969442,99.993822,17.583855,2.772410,9.041000,1.459000
shell-512b,zstd-1,8192,2775,33.874512,2.952072,24.056648,77.515022,99.927554,99.964542,41.529872,12.896107,20.709000,6.708000
shell-512b,zstd-3,8192,2737,33.410645,2.993058,22.093286,77.186528,99.950891,99.973768,45.250233,12.954953,22.750000,6.708000
shell-512b,zstd-6,8192,2654,32.397461,3.086662,13.749723,65.945454,99.970447,99.991727,72.705185,15.162835,36.458000,7.875000
shell-512b,zstd-9,8192,2654,32.397461,3.086662,12.179313,66.236634,99.944562,99.972542,82.060667,15.087875,42.292000,7.875000
