dataset,algorithm,original_bytes,compressed_bytes,compressed_percent,ratio,compress_mib_s,decompress_mib_s,compress_cpu_pct,decompress_cpu_pct,compress_cpu_ms_mib,decompress_cpu_ms_mib,compress_p95_us,decompress_p95_us
input-1b,none-copy,16,16,100.000000,1.000000,30.052466,32.898081,99.845273,99.787199,33.195291,30.295101,0.135000,0.048000
input-1b,zstd-fast3,16,160,1000.000000,0.100000,4.642604,12.786931,99.752177,99.825957,214.880252,78.046127,0.365000,0.093000
input-1b,zstd-1,16,160,1000.000000,0.100000,4.703779,12.458654,99.681781,99.805833,212.152975,80.134856,0.347000,0.169000
input-1b,zstd-3,16,160,1000.000000,0.100000,4.670886,12.481381,99.730808,99.721189,213.515803,79.985481,0.231000,0.148000
input-1b,zstd-6,16,160,1000.000000,0.100000,4.640689,12.365141,99.816896,99.794877,214.698966,80.332459,0.233000,0.094000
input-1b,zstd-9,16,160,1000.000000,0.100000,4.679722,12.451877,99.772636,99.838083,213.202051,80.131304,0.364000,0.092000
input-1b,snappy-1,16,48,300.000000,0.333333,6.000319,6.172014,99.826321,99.760310,165.969920,161.767699,0.256000,0.253000
input-1b,snappy-2,16,48,300.000000,0.333333,6.017519,6.189710,99.814271,99.835981,165.896308,161.304060,0.341000,0.173000
input-1b,lz4-fast,16,32,200.000000,0.500000,6.793803,26.127352,99.837817,99.721321,146.902917,38.222317,0.235000,0.084000
input-1b,lz4-hc9,16,32,200.000000,0.500000,0.125942,26.119181,99.793970,99.772924,7923.778065,38.235501,10.219000,0.055000
input-8b,none-copy,128,128,100.000000,1.000000,341.811750,369.876522,99.704442,99.816546,2.917464,2.698645,0.049000,0.039000
input-8b,zstd-fast3,128,272,212.500000,0.470588,20.672128,123.069826,99.744347,99.822499,48.233139,8.045417,0.390000,0.083000
input-8b,zstd-1,128,272,212.500000,0.470588,20.737916,124.492484,99.754747,99.828566,48.056521,8.021869,0.561000,0.088000
input-8b,zstd-3,128,272,212.500000,0.470588,20.686248,121.201248,99.834921,99.774135,48.264050,8.229333,0.390000,0.149000
input-8b,zstd-6,128,272,212.500000,0.470588,20.737612,123.357458,99.746021,99.774585,47.798115,8.025821,0.387000,0.081000
input-8b,zstd-9,128,272,212.500000,0.470588,20.848168,124.093881,99.805359,99.785191,47.664137,8.029033,0.568000,0.161000
input-8b,snappy-1,128,160,125.000000,0.800000,47.911992,132.762675,99.773532,99.777227,20.800522,7.467239,0.200000,0.134000
input-8b,snappy-2,128,160,125.000000,0.800000,47.306952,133.686540,99.743658,99.805670,21.111021,7.461836,0.286000,0.124000
input-8b,lz4-fast,128,144,112.500000,0.888889,52.970956,293.068747,99.809923,99.803113,18.843676,3.406917,0.246000,0.071000
input-8b,lz4-hc9,128,144,112.500000,0.888889,1.053347,288.368023,99.774018,99.797650,946.648615,3.458124,10.433000,0.044000
input-64b,none-copy,1024,1024,100.000000,1.000000,2735.166043,2954.360580,99.833212,99.797845,0.365154,0.337934,0.064000,0.058000
input-64b,zstd-fast3,1024,1168,114.062500,0.876712,145.762914,984.306599,99.792623,99.860578,6.847429,1.014552,0.634000,0.089000
input-64b,zstd-1,1024,1160,113.281250,0.882759,42.822411,426.649265,99.820598,99.718739,23.284912,2.320590,2.360000,1.236000
input-64b,zstd-3,1024,1168,114.062500,0.876712,40.456020,990.343657,99.813004,99.795666,24.674778,1.007300,2.379000,0.084000
input-64b,zstd-6,1024,1168,114.062500,0.876712,27.748459,979.132666,99.820390,99.791891,35.990131,1.013183,3.267000,0.155000
input-64b,zstd-9,1024,1168,114.062500,0.876712,23.957884,982.422715,99.800234,99.779284,41.684065,1.015570,4.681000,0.172000
input-64b,snappy-1,1024,1040,101.562500,0.984615,250.094026,613.142332,99.822610,99.779239,3.993154,1.627951,0.393000,0.192000
input-64b,snappy-2,1024,1027,100.292969,0.997079,199.335985,635.286983,99.743341,99.766301,5.006287,1.570996,0.537000,0.184000
input-64b,lz4-fast,1024,1032,100.781250,0.992248,275.987564,1414.648480,99.743835,99.733260,3.608604,0.702626,0.267000,0.101000
input-64b,lz4-hc9,1024,1032,100.781250,0.992248,9.278022,1403.816686,99.844715,99.785192,107.614222,0.711212,10.180000,0.071000
shell-512b,none-copy,8192,8192,100.000000,1.000000,16872.800974,18204.008386,99.796715,99.725243,0.059121,0.054830,0.056000,0.064000
shell-512b,zstd-fast3,8192,4557,55.627441,1.797674,260.689536,1503.878799,99.809762,99.861683,3.827449,0.664111,2.905000,0.571000
shell-512b,zstd-1,8192,2775,33.874512,2.952072,120.045510,257.820672,99.789738,99.759292,8.316057,3.868903,6.175000,2.569000
shell-512b,zstd-3,8192,2737,33.410645,2.993058,113.108693,257.505588,99.790767,99.771503,8.820110,3.855580,6.199000,2.537000
shell-512b,zstd-6,8192,2654,32.397461,3.086662,59.620376,229.751958,99.827942,99.707949,16.743930,4.344374,14.000000,2.987000
shell-512b,zstd-9,8192,2654,32.397461,3.086662,51.705964,230.144453,99.753863,99.751401,19.285920,4.328677,14.190000,2.755000
shell-512b,snappy-1,8192,3409,41.613770,2.403051,1061.162693,604.824512,99.785715,99.707328,0.939955,1.646072,5.020000,1.290000
shell-512b,snappy-2,8192,3267,39.880371,2.507499,612.688501,528.608302,99.763889,99.759386,1.628044,1.886693,6.199000,1.328000
shell-512b,lz4-fast,8192,3282,40.063477,2.496039,899.630357,4008.058681,99.816028,99.779356,1.105346,0.248560,0.590000,0.259000
shell-512b,lz4-hc9,8192,3272,39.941406,2.503667,68.904444,3978.422412,99.794358,99.736891,14.483008,0.248692,10.915000,0.166000
shell-4k-output-json,none-copy,231560,231560,100.000000,1.000000,54735.318768,42641.458597,99.808999,99.781851,0.018238,0.023412,0.428000,0.554000
shell-4k-output-json,zstd-fast3,231560,20747,8.959665,11.161132,1119.600995,3013.785785,99.762042,99.766398,0.891247,0.330981,17.456000,7.248000
shell-4k-output-json,zstd-1,231560,12312,5.316980,18.807667,882.053846,2122.366764,99.762662,99.800885,1.131755,0.469474,21.699000,9.765000
shell-4k-output-json,zstd-3,231560,12960,5.596822,17.867284,769.415411,1930.148381,99.761622,99.727907,1.292699,0.516685,25.764000,10.518000
shell-4k-output-json,zstd-6,231560,11079,4.784505,20.900803,171.846423,2258.327725,99.684474,99.797564,5.797067,0.442057,110.505000,10.109000
shell-4k-output-json,zstd-9,231560,11739,5.069528,19.725701,41.443710,2306.231922,99.756716,99.812994,24.056204,0.432326,446.933000,8.659000
shell-4k-output-json,snappy-1,231560,28771,12.424857,8.048382,494.306555,2963.098274,99.656074,99.783150,2.014952,0.336753,36.644000,7.043000
shell-4k-output-json,snappy-2,231560,25555,11.036017,9.061240,447.839559,3517.422472,99.773211,99.808449,2.190782,0.283915,39.672000,5.951000
shell-4k-output-json,lz4-fast,231560,26683,11.523147,8.678185,2137.998439,6887.601057,99.831266,99.827051,0.467016,0.144748,7.892000,3.008000
shell-4k-output-json,lz4-hc9,231560,18774,8.107618,12.334079,118.067978,10917.152764,99.717237,99.809983,8.413341,0.091425,155.320000,2.017000
shell-4k,none-copy,65536,65536,100.000000,1.000000,46033.490549,47275.827811,99.791673,99.859614,0.021687,0.021123,0.122000,0.119000
shell-4k,zstd-fast3,65536,13833,21.107483,4.737656,567.730326,1374.163453,99.689369,99.782075,1.752814,0.726130,10.027000,4.275000
shell-4k,zstd-1,65536,8379,12.785339,7.821458,388.462676,894.763854,99.820169,99.808957,2.570874,1.112959,14.702000,6.378000
shell-4k,zstd-3,65536,8020,12.237549,8.171571,365.744304,885.630223,99.800358,99.789544,2.728967,1.126763,15.550000,6.539000
shell-4k,zstd-6,65536,7679,11.717224,8.534445,102.929286,888.296060,99.761975,99.790187,9.682182,1.123232,51.869000,6.328000
shell-4k,zstd-9,65536,7770,11.856079,8.434492,79.205242,904.003042,99.814945,99.821018,12.602667,1.104654,71.601000,6.315000
shell-4k,snappy-1,65536,14253,21.748352,4.598050,1829.871850,1810.262840,99.721663,99.723731,0.545484,0.550582,3.477000,3.134000
shell-4k,snappy-2,65536,14026,21.401978,4.672465,1052.740355,1797.407701,99.832510,99.869475,0.947146,0.555680,5.515000,3.369000
shell-4k,lz4-fast,65536,14214,21.688843,4.610666,1446.171479,6041.166055,99.750732,99.766287,0.689757,0.165077,3.790000,1.130000
shell-4k,lz4-hc9,65536,13210,20.156860,4.961090,182.137023,6492.670094,99.741089,99.728861,5.476891,0.153780,38.685000,1.234000
ansi-4k-output-json,none-copy,221380,221380,100.000000,1.000000,44107.521856,52289.033782,99.817863,99.660022,0.022631,0.018081,0.480000,0.402000
ansi-4k-output-json,zstd-fast3,221380,29629,13.383775,7.471734,778.664627,1968.927623,99.736590,99.802741,1.278568,0.506345,27.892000,12.507000
ansi-4k-output-json,zstd-1,221380,17606,7.952841,12.574122,579.858861,1381.171850,99.806929,99.741324,1.721228,0.722665,35.917000,14.099000
ansi-4k-output-json,zstd-3,221380,17202,7.770350,12.869434,537.394795,1314.479306,99.702706,99.812362,1.851596,0.759330,34.785000,14.433000
ansi-4k-output-json,zstd-6,221380,16029,7.240491,13.811217,119.599584,1566.579694,99.778672,99.829685,8.345163,0.637251,150.304000,12.447000
ansi-4k-output-json,zstd-9,221380,15360,6.938296,14.412760,30.321298,1589.239847,99.821944,99.787391,32.922099,0.628301,545.796000,12.937000
ansi-4k-output-json,snappy-1,221380,35055,15.834764,6.315219,412.189111,2179.237442,99.822062,99.762508,2.418623,0.458161,42.797000,8.738000
ansi-4k-output-json,snappy-2,221380,30233,13.656609,7.322462,392.810123,2772.082871,99.771414,99.823999,2.540022,0.360134,43.728000,6.981000
ansi-4k-output-json,lz4-fast,221380,41949,18.948866,5.277361,1162.009537,3492.555562,99.810988,99.805964,0.859433,0.285698,13.393000,5.312000
ansi-4k-output-json,lz4-hc9,221380,28700,12.964134,7.713589,65.161379,6867.035797,99.832356,99.807084,15.315944,0.145390,255.904000,2.915000
ansi-4k,none-copy,65536,65536,100.000000,1.000000,46093.160718,40927.943262,99.788982,99.754835,0.021638,0.024369,0.137000,0.132000
ansi-4k,zstd-fast3,65536,20332,31.024170,3.223293,345.450485,820.598123,99.767765,99.803015,2.888048,1.214893,15.959000,7.055000
ansi-4k,zstd-1,65536,10833,16.529846,6.049663,269.473288,626.866913,99.834547,99.811610,3.704803,1.592598,20.056000,9.272000
ansi-4k,zstd-3,65536,10500,16.021729,6.241524,260.902480,649.722330,99.831906,99.737936,3.827353,1.537167,22.000000,9.053000
ansi-4k,zstd-6,65536,10807,16.490173,6.064218,77.170443,734.910913,99.747457,99.777168,12.933369,1.357677,66.796000,7.947000
ansi-4k,zstd-9,65536,10866,16.580200,6.031290,54.352691,712.443664,99.808520,99.834606,18.363124,1.401298,98.004000,8.322000
ansi-4k,snappy-1,65536,23513,35.877991,2.787224,1017.209418,1187.482666,99.831292,99.762288,0.981765,0.840116,5.558000,5.255000
ansi-4k,snappy-2,65536,23219,35.429382,2.822516,559.453269,1164.892098,99.815828,99.653525,1.784246,0.855474,10.259000,5.435000
ansi-4k,lz4-fast,65536,23402,35.708618,2.800444,813.908400,3134.799346,99.771943,99.758688,1.225837,0.318230,5.975000,1.979000
