dataset,algorithm,original_bytes,compressed_bytes,compressed_percent,ratio,compress_mib_s,decompress_mib_s,compress_cpu_pct,decompress_cpu_pct,compress_cpu_ms_mib,decompress_cpu_ms_mib,compress_p95_us,decompress_p95_us
input-1b,none-copy,16,16,100.000000,1.000000,62.462938,63.247294,99.874731,99.929365,15.989248,15.775970,0.040000,0.050000
input-1b,zstd-fast3,16,160,1000.000000,0.100000,12.449507,31.090415,99.857476,99.852963,80.225380,32.116961,0.101000,0.050000
input-1b,zstd-1,16,160,1000.000000,0.100000,12.385302,30.317497,99.749373,99.872969,80.722418,32.960129,0.101000,0.051000
input-1b,zstd-3,16,160,1000.000000,0.100000,12.470074,30.933065,99.864274,99.904875,80.083148,32.220577,0.101000,0.061000
input-1b,zstd-6,16,160,1000.000000,0.100000,12.334280,30.049281,99.888311,99.913942,80.941095,33.255216,0.110000,0.061000
input-1b,zstd-9,16,160,1000.000000,0.100000,12.507105,31.417294,99.912579,99.896822,79.883326,31.805327,0.101000,0.061000
input-1b,snappy-1,16,48,300.000000,0.333333,12.536261,9.167918,99.922243,99.852945,79.717120,109.022488,0.111000,0.131000
input-1b,snappy-2,16,48,300.000000,0.333333,12.730936,9.385083,99.835888,99.842166,78.501430,106.513755,0.110000,0.140000
input-1b,lz4-fast,16,32,200.000000,0.500000,8.800673,56.683660,99.898154,99.891684,113.360540,17.599040,0.131000,0.031000
input-1b,lz4-hc9,16,32,200.000000,0.500000,0.650677,56.792577,99.911439,99.885304,1535.078400,17.587739,1.992000,0.031000
input-8b,none-copy,128,128,100.000000,1.000000,806.991812,890.509832,99.945784,99.857323,1.239077,1.120570,0.030000,0.030000
input-8b,zstd-fast3,128,272,212.500000,0.470588,45.538523,318.275898,99.778918,99.942983,21.866865,3.139626,0.181000,0.041000
input-8b,zstd-1,128,272,212.500000,0.470588,46.574867,327.882465,99.920642,99.891590,21.460349,3.048847,0.191000,0.050000
input-8b,zstd-3,128,272,212.500000,0.470588,45.936627,327.986797,99.853970,99.908398,21.723299,3.046110,0.201000,0.040000
input-8b,zstd-6,128,272,212.500000,0.470588,45.937265,327.693524,99.918781,99.857490,21.229047,3.048368,0.200000,0.041000
input-8b,zstd-9,128,272,212.500000,0.470588,46.525701,321.415346,99.882227,99.951902,21.468183,3.107336,0.191000,0.040000
input-8b,snappy-1,128,160,125.000000,0.800000,98.081165,310.563646,99.893294,99.910472,10.178071,3.184796,0.111000,0.060000
input-8b,snappy-2,128,160,125.000000,0.800000,95.330007,316.187624,99.888463,99.830972,10.459816,3.154753,0.111000,0.041000
input-8b,lz4-fast,128,144,112.500000,0.888889,67.998997,703.655090,99.891976,99.915760,14.676435,1.420817,0.131000,0.030000
input-8b,lz4-hc9,128,144,112.500000,0.888889,5.145103,698.570909,99.954354,99.914135,192.744727,1.428478,1.472000,0.040000
input-64b,none-copy,1024,1024,100.000000,1.000000,6300.845806,7087.173495,99.927749,99.924068,0.158494,0.140993,0.030000,0.030000
input-64b,zstd-fast3,1024,1168,114.062500,0.876712,373.768643,2551.522352,99.958735,99.852757,2.671928,0.391606,0.190000,0.050000
input-64b,zstd-1,1024,1160,113.281250,0.882759,79.155326,857.992680,99.810423,99.893805,12.595895,1.162384,1.502000,0.771000
input-64b,zstd-3,1024,1168,114.062500,0.876712,77.898012,2580.628602,99.955521,99.937499,12.827139,0.387361,0.892000,0.040000
input-64b,zstd-6,1024,1168,114.062500,0.876712,61.132074,2530.087711,99.897497,99.898175,16.347234,0.393364,1.232000,0.040000
input-64b,zstd-9,1024,1168,114.062500,0.876712,52.350823,2607.803234,99.821042,99.961848,18.939658,0.383083,1.342000,0.041000
input-64b,snappy-1,1024,1040,101.562500,0.984615,544.260905,1490.712947,99.956311,99.841704,1.836647,0.669638,0.150000,0.061000
input-64b,snappy-2,1024,1027,100.292969,0.997079,428.643362,1503.982416,99.898245,99.901095,2.330568,0.664244,0.171000,0.061000
input-64b,lz4-fast,1024,1032,100.781250,0.992248,404.356927,3372.960752,99.889855,99.948780,2.469399,0.296431,0.181000,0.041000
input-64b,lz4-hc9,1024,1032,100.781250,0.992248,37.981707,3373.567894,99.729829,99.944742,26.094904,0.296344,1.613000,0.041000
shell-512b,none-copy,8192,8192,100.000000,1.000000,25897.187229,25691.885337,99.877269,99.897927,0.038563,0.038912,0.040000,0.040000
shell-512b,zstd-fast3,8192,4557,55.627441,1.797674,524.942668,3491.505214,99.829097,99.853716,1.901714,0.285990,1.002000,0.180000
shell-512b,zstd-1,8192,2775,33.874512,2.952072,214.799702,467.392275,99.873085,99.949188,4.650886,2.138780,2.414000,1.082000
shell-512b,zstd-3,8192,2737,33.410645,2.993058,200.926608,470.389756,99.881106,99.956909,4.974632,2.123062,2.573000,1.071000
