dataset,algorithm,original_bytes,compressed_bytes,compressed_percent,ratio,compress_mib_s,decompress_mib_s,compress_cpu_pct,decompress_cpu_pct,compress_cpu_ms_mib,decompress_cpu_ms_mib,compress_p95_us,decompress_p95_us
input-1b,none-copy,16,16,100.000000,1.000000,47.468298,50.600925,99.608267,99.620206,20.984166,19.711784,0.050000,0.041000
input-1b,zstd-fast3,16,160,1000.000000,0.100000,6.476763,18.340724,99.472803,99.687927,153.497215,54.353320,0.300000,0.080000
input-1b,zstd-1,16,160,1000.000000,0.100000,6.634519,17.794042,99.499509,99.682558,150.121292,56.020187,0.290000,0.080000
input-1b,zstd-3,16,160,1000.000000,0.100000,6.756233,17.646400,99.746791,99.274339,147.576870,56.511011,0.161000,0.080000
input-1b,zstd-6,16,160,1000.000000,0.100000,6.660504,18.308747,99.348315,99.699865,149.103658,54.377131,0.161000,0.080000
input-1b,zstd-9,16,160,1000.000000,0.100000,6.718792,18.541416,99.682518,99.558510,148.363742,53.925274,0.161000,0.080000
input-1b,snappy-1,16,48,300.000000,0.333333,8.243843,7.257782,99.558629,99.631711,120.790060,137.275695,0.241000,0.210000
input-1b,snappy-2,16,48,300.000000,0.333333,7.628980,7.108052,99.540549,99.652788,130.476873,140.178390,0.151000,0.160000
input-1b,lz4-fast,16,32,200.000000,0.500000,4.194627,39.224713,99.731454,99.678805,236.983992,25.353732,0.240000,0.050000
input-1b,lz4-hc9,16,32,200.000000,0.500000,0.309229,39.700997,99.514977,99.736541,3218.162526,25.121923,4.989000,0.050000
input-8b,none-copy,128,128,100.000000,1.000000,411.453186,428.095942,99.642713,99.585331,2.414831,2.328439,0.050000,0.041000
input-8b,zstd-fast3,128,272,212.500000,0.470588,25.272056,141.904522,99.670047,99.294769,39.438836,6.997294,0.551000,0.121000
input-8b,zstd-1,128,272,212.500000,0.470588,24.436676,149.089475,99.357863,99.550202,40.565944,6.680927,0.541000,0.080000
input-8b,zstd-3,128,272,212.500000,0.470588,25.822594,140.056932,99.568324,99.324788,38.555826,7.023881,0.311000,0.071000
input-8b,zstd-6,128,272,212.500000,0.470588,25.939069,151.680758,99.549342,99.695280,38.514064,6.569806,0.512000,0.080000
input-8b,zstd-9,128,272,212.500000,0.470588,24.769063,144.203783,99.710076,99.451029,40.284510,6.909516,0.310000,0.121000
input-8b,snappy-1,128,160,125.000000,0.800000,62.957259,142.325648,99.780385,99.589152,15.874911,6.945403,0.151000,0.120000
input-8b,snappy-2,128,160,125.000000,0.800000,62.266263,150.747308,99.506512,99.680159,15.976381,6.623002,0.160000,0.080000
input-8b,lz4-fast,128,144,112.500000,0.888889,32.661201,345.788033,99.563656,99.713492,30.483771,2.885163,0.241000,0.060000
input-8b,lz4-hc9,128,144,112.500000,0.888889,2.292645,347.732347,99.501736,99.612327,434.481021,2.857836,4.919000,0.041000
