dataset,algorithm,original_bytes,compressed_bytes,compressed_percent,ratio,compress_mib_s,decompress_mib_s,compress_cpu_pct,decompress_cpu_pct,compress_cpu_ms_mib,decompress_cpu_ms_mib,compress_p95_us,decompress_p95_us
input-1b,none-copy,16,16,100.000000,1.000000,179.875683,280.484800,99.924447,99.945765,5.553463,3.561283,0.042000,0.042000
input-1b,zstd-fast3,16,160,1000.000000,0.100000,22.519588,53.854153,99.946012,99.928581,44.369633,18.553080,0.084000,0.042000
input-1b,zstd-1,16,160,1000.000000,0.100000,22.965376,55.406099,99.904244,99.896288,43.533333,18.029830,0.084000,0.042000
input-1b,zstd-3,16,160,1000.000000,0.100000,22.522482,52.591730,99.957643,99.908199,44.339727,18.980304,0.083000,0.042000
input-1b,zstd-6,16,160,1000.000000,0.100000,22.530049,55.158571,99.964760,99.857959,44.282291,18.103797,0.083000,0.042000
input-1b,zstd-9,16,160,1000.000000,0.100000,22.012322,55.006297,99.911293,99.976842,45.271021,18.175527,0.084000,0.042000
input-1b,snappy-1,16,48,300.000000,0.333333,25.135692,42.626028,99.982746,99.950698,39.783747,23.429284,0.042000,0.042000
input-1b,snappy-2,16,48,300.000000,0.333333,25.053227,42.926428,99.874869,99.958232,39.865073,23.274465,0.042000,0.042000
input-1b,lz4-fast,16,32,200.000000,0.500000,5.188578,157.432059,99.948146,99.953925,192.667748,6.343660,0.209000,0.042000
input-1b,lz4-hc9,16,32,200.000000,0.500000,0.935468,145.164774,99.986953,99.979446,1068.877913,6.886846,1.292000,0.042000
input-8b,none-copy,128,128,100.000000,1.000000,1317.000496,1985.028582,99.973301,99.945383,0.759237,0.503235,0.042000,0.042000
input-8b,zstd-fast3,128,272,212.500000,0.470588,74.653175,428.350400,99.943791,99.819800,13.392366,2.330330,0.125000,0.042000
input-8b,zstd-1,128,272,212.500000,0.470588,75.419668,426.936670,99.972434,99.935662,13.257972,2.342060,0.125000,0.042000
input-8b,zstd-3,128,272,212.500000,0.470588,74.645969,412.984338,99.953338,99.887365,13.392143,2.415772,0.125000,0.042000
input-8b,zstd-6,128,272,212.500000,0.470588,74.158927,418.604962,99.992258,99.919829,13.484015,2.385146,0.125000,0.042000
input-8b,zstd-9,128,272,212.500000,0.470588,74.279340,427.027538,99.950914,99.910870,13.413301,2.337746,0.125000,0.042000
input-8b,snappy-1,128,160,125.000000,0.800000,197.343683,447.058357,99.929206,99.975210,5.062112,2.236673,0.042000,0.042000
input-8b,snappy-2,128,160,125.000000,0.800000,193.387656,412.730752,99.934175,99.985314,5.158433,2.422531,0.042000,0.042000
input-8b,lz4-fast,128,144,112.500000,0.888889,43.323844,1155.341065,99.943026,99.964237,23.073082,0.864691,0.167000,0.042000
input-8b,lz4-hc9,128,144,112.500000,0.888889,7.297609,1152.576288,99.913737,99.963994,136.759875,0.867309,1.125000,0.042000
input-64b,none-copy,1024,1024,100.000000,1.000000,10903.569239,15447.750475,99.954272,99.986251,0.091521,0.064654,0.042000,0.042000
input-64b,zstd-fast3,1024,1168,114.062500,0.876712,521.805061,3253.241949,99.953831,99.966703,1.915641,0.304639,0.125000,0.042000
input-64b,zstd-1,1024,1160,113.281250,0.882759,102.608039,804.106915,99.939039,99.958059,9.740573,1.243057,1.750000,0.958000
input-64b,zstd-3,1024,1168,114.062500,0.876712,112.365474,3388.678141,99.878335,99.890562,8.894296,0.294645,0.584000,0.042000
input-64b,zstd-6,1024,1168,114.062500,0.876712,87.522507,3235.353739,99.934972,99.947190,11.406645,0.308816,0.833000,0.042000
input-64b,zstd-9,1024,1168,114.062500,0.876712,72.200644,3302.506172,99.953375,99.954760,13.843834,0.302663,0.959000,0.042000
input-64b,snappy-1,1024,1040,101.562500,0.984615,990.759508,2147.506372,99.938480,99.981772,1.008904,0.465088,0.084000,0.042000
input-64b,snappy-2,1024,1027,100.292969,0.997079,774.422427,2123.221036,99.911580,99.967224,1.291029,0.469970,0.125000,0.042000
input-64b,lz4-fast,1024,1032,100.781250,0.992248,242.770347,4642.188772,99.930099,99.978265,4.111271,0.215406,0.292000,0.042000
input-64b,lz4-hc9,1024,1032,100.781250,0.992248,35.915103,4705.869792,99.973489,99.984028,27.836058,0.212328,1.916000,0.042000
shell-512b,none-copy,8192,8192,100.000000,1.000000,38063.782402,52492.310398,99.926636,99.917156,0.026201,0.019018,0.042000,0.042000
shell-512b,zstd-fast3,8192,4557,55.627441,1.797674,722.408224,4432.179348,99.932137,99.919203,1.384081,0.224833,0.875000,0.125000
shell-512b,zstd-1,8192,2775,33.874512,2.952072,203.485588,385.581239,99.918454,99.967424,4.913350,2.592497,3.042000,1.542000
shell-512b,zstd-3,8192,2737,33.410645,2.993058,196.063816,397.758670,99.834655,99.913646,5.091947,2.511916,3.084000,1.542000
shell-512b,zstd-6,8192,2654,32.397461,3.086662,144.673065,363.981742,99.931648,99.895101,6.904403,2.744103,4.167000,1.625000
shell-512b,zstd-9,8192,2654,32.397461,3.086662,121.793846,359.367262,99.929658,99.986670,8.205607,2.782539,4.875000,1.750000
shell-512b,snappy-1,8192,3409,41.613770,2.403051,2722.896710,3933.309239,99.991843,99.919138,0.366911,0.254026,0.209000,0.167000
shell-512b,snappy-2,8192,3267,39.880371,2.507499,1772.544299,3724.693489,99.975664,99.952228,0.564024,0.268251,0.375000,0.167000
